,text,rated,coloring,date,name,bank,sex
10,"Добрый день, уважаемые пользователи банковских услуг. Хочу предупредить что в данном банке не существуют единых (стандартов/гостов), сотрудники не квалифицированные на горячей линии, получить интересующую информацию возможно только в отделении банка где открыт счёт компании. Регалии современного века ввиде электронного оборота, банк не поддерживает.  Не компетентность банковских сотрудников приносит существенный урон бизнесу. Всю информацию запрашиваемую у банка, лучше получать в чате, что бы было на руках подтверждение всего деалога.",1,bad,"25 февр, 2022",Регина,uralsib,female
11,"В г. Железногорске Красноярского края постоянно большая очередь, которая медленно двигается. Сотрудники не смотря на ждущих людей могут заниматься своими делами пока не сделаешь им замечания. Мало того данный банк подает сведения в налоговую о процентах (дивидендах) которые выплатят только в следующем году т.е. дивиденды забрать не можешь, а налог заплатить должен. А если расторгнуть договор раньше срока ни дивидендов не увидишь и налог за это заплатишь. Обращение на горячую линию банка заканчивается футболом вас от одного оператора к другому около четырех раз и заканчивается ""пишите обращение на нашем сайте"". Ужасный банк,  такого я не ожидал от Газпрома.",1,bad,"25 февр, 2022",Андрей,gazprombank,male
12,"Являюсь премиальным клиентом Газпромбанка. Вчера 21 февраля позвонил на горячую линию и попытался запросить информацию об открытии новой дебетовой карты. Вместо консультации меня отфутболили к премиальному менеджеру, который уже 2 день успешно не отвечает на звонки,  сказали, что составили заявку, чтобы мне перезвонили из местного офиса. Прошли сутки, никто мне не звонил, опять набрал горячую линию, снова отфутболили... Не понимаю чем занимаются сотрудники горячей линии - только обещают составить заявки на звонок... Премиальный клиент ждет ответа на элементарный вопрос вторые сутки. Мнение о банке упало ниже плинтуса. Интересно, с таким отношением, в банке остались еще премиальные клиенты ? или ушли к конкурентам ?",1,bad,"22 февр, 2022",Дмитрий,gazprombank,male
13,"Почему снали больше чем 22,000 руб минус от изменение баланса код операции 15640509252? Пожалуйста верните деньги",1,bad,"22 февр, 2022",Ванесса,gazprombank,unkn
14,"февраля ооо башкирский камень (мой партнер) ИНН ****, директор У. Элина Борисовна, тел. 8**** по моему наставлению решила открыть счет в газпромбанке. В банке сообщили, что тариф стоит 550р, 07.02.2022 г. она попыталась оплатить тариф но из-за комиссий сумма отправилась на 5 рублей больше (555 вместо 550). Так что сделал банк, эти щипачи, по другому их назвать нельзя, сказали, а ваш тариф не оплачен, потому что надо кидать ровно 550, теперь надо оформлять возврат и оплатить по новой! Какой же это позор и бред для банка в 21 веке! Ладно оформили возврат в этом доисторическом банке, так теперь деньги не возвращаются! А тариф просят оплатить снова!",1,bad,"21 февр, 2022",Кирилл К,gazprombank,unkn
15,"Сколько раз пытался положить деньги на карту халва в разных филиалах, где установлены ваши банкоматы и это нереально! Либо банкомат уже перегружен, либо не работает, либо когда всё работает, то банкомате принимает по ОДНОЙ!!! купюре. Вы представьте положите 150 купюр в банкомат по 1 сколько уйдёт на это времени! Хуже банкоматов нигде не встречал",1,bad,"21 февр, 2022",Владислав,sovkombank,male
16,"Переводил деньги через СБП   с карты УРАЛСИБ     на свою карту другого банка. Деньги ушли, но на вторую карту так и не поступили! Это что за быстрый платеж, вторые сутки идут?! Как я вижу по другим отзывам эта проблема не нова, но никак не решатся",1,bad,"21 февр, 2022",Александр,uralsib,male
17,"Пришла в отделение Газпромбанка для того, чтобы закрыть кредитную карту. Ожидание составило больше 2!!!!!! Часов. Операторы выбирают из списка ту операцию, которую могут выполнить. Компетенция сотрудников на нулевом уровне. Как из леса вышли вообще не знают ничего. Самое отвратительное обслуживание и отрошение к клиентам",1,bad,"19 февр, 2022",Евгения Сергеевна,gazprombank,unkn
18,"Здравствуйте! Я снимала деньги в Газпромбанке 30000 р 18.02.2022г. ДЕНЬГИ БЫЛИ СПИСАНЫ СО СЧЕТА , НО НЕ ВЫДАНЫ !!!!! Когда мне вернут деньги ?????",1,bad,"18 февр, 2022",Пользователь,gazprombank,unkn
19,"Ужасный банк Через банкомат положила на карту достаточно крупную сумму. Сняли комиссию, хотя когда звонила  два раза сотрудник сказал комиссий не будет. Составила обращение. Перезвонили через  несколько дней сказали вернут деньги. После этого началось катание ваты. Сначала попросили открыть карты чтоб вернуть деньги. Открыла -прождав в офисе 4 часа. Потом оказалось что надо было написать заявление на возврат .Пошла еще раз написала. И как оказалось при очередном звонке почему то мое обращение стали рассматривать по новой .Никакой  информации. Одно дурилово. Я очень жалею что не обошла этот банкомат стороной Не дай бог связаться с этим банком хоть кому -нибудь!!!!!",1,bad,"18 февр, 2022",Елена Анваровна,gazprombank,unkn
20,"И снова здравствуйте! как ранее писала после воссоединения Совкомбанк и Восточный банк первый же платеж просто не засчитали. ладно, увидела, обратилась, исправила. Второй платеж внесла. проверила, все нормально зачислено. НО!!! зайдя через 2 недели в личный кабинет я опять просрочила кредит оказывается! По истории специалисты банка удалили внесение и переделали все по своему. И вуаля! Опять просрочен кредит. Господа специалисты, объясните пока дело не дошло до суда кто у вас там работает и зачем портят кредитную историю людям? при чем сделано это явно спецмально. Остается вопрос для чего? Конечно же сейчас все исправят и отзыв отзовут. Но в работе ""банка"" навряд ли что то измениться Дополнение: Пишу далеко не первый раз и все время одни отписки. С 16 числа отправлено обращение по факту незаконного начисления непонятного долга по кредиту. Еще раз говорю все оплачено, но банк исправил самостоятельно все платежи, что видно в истории платежей и появился долг. Ежедневно мне и моим родственникам звонят с требованиями, что в принципе вне закона. Уважаемые представители банка, мне в прокуратуру стоит обратиться, что бы вы исправили свою работу ""Специалистов"" банка? когда наведут порядок в моих платежах?",1,bad,"16 февр, 2022",Елена Владимировна,sovkombank,unkn
21,"января 2022 года, мне на телефон поступило предложение о кредите под низкую % ставку, я решила воспользоваться предложением и закрыть кредит в другом банке. заполнила анкету, на следующий день позвонили, сказали, что все одобрено, можно придти в отделение, 12 числа мне назначили встречу в банке в отделении по адресу г. Краснодар, ул. Володи Головатого, д. 302, просидев час ожидания меня пригласили к девушке менеджеру, девушка очень мило улыбалась и рассказывала про кредит и действующее предложение, рассказала, что к кредиту будет дополнительно оформлен договор страхования и назвала сумму в 46 тыс рублей, указала так же, что при досрочном погашении, сумма страхования будет возвращена частично, такие условия меня устроили. но разговор шел только о страховании жизни! когда я вернулась домой стала разбирать документы и увидела еще 2 дополнительных сертификата от ЕВРОПЕЙСКОЙ ЮРИДИЧЕСКОЙ КОМПАНИИ,о которых и слова не было при нашем общении!!!!! сумма этих сертификатов так же вошла в стоимость кредита и на них так же начисляется процентная ставка!!!! на следующий день мы написали заявления об отказе от этих сертификатов и отправили заказным письмом в ЮРИДИЧЕСКУЮ КОМПАНИЮ! Как не стыдно банку, который рекламирует режиссер мирового уровня опускаться до обмана пенсионера и ветерана труда? по скольку решения от ЕВРОПЕЙСКОЙ ЮРИДИЧЕСКОЙ КОМПАНИИ до сих пор не поступило, решила написать Вам отзыв, чтобы другие пенсионеры были в курсе, как банк их может обмануть! ПОЗОР ГАЗПРОМБАНК, ПОЗОР!!!!!",1,bad,"14 февр, 2022",Вера,gazprombank,female
22,"дней 5 назад мне понадобились деньги наличкой,нужной суммы нет и повелась на рекламу газпрома.в первый же день поступило 25-30 звонков от банка.мне надо было всего лишь 30 тысяч,но начали  навязывать 170!  я отказалась от такого кредита,но звонки продолжают поступать до сих пор. уже пригрозила судом за навязчивые звонки и бесполезно. звонков стало меньше,но не прекратили долбить звонками. в первый же день закралась мысль""кредит еще не взяла,но уже задолбали . что будет когда возьму кредит? меня ж сожрут"" и как оказалось не зря передумала. там еще и навязчивая страховка,от которой отказаться не дают,еще и какой то платный налоговый сертификат о котором умалчивают изначально,оказывается даты списания в любой день,а не в оговоренную дату и автоматом становишься должником с просрочкой.  теперь жалею только об одном-что сунулась в этот банк с заявкой на кредит и оставила свой номер,надо было давать запасной недоступный номер",1,bad,"12 февр, 2022",наталья,gazprombank,unkn
23,"Я военнослужащий,получаю 50% от зарплаты в вашем банке,а другие 50% плачу алименты. 10.02 была зарплата,так её всю списали и оставили без средств к существованию. Хотя ранее всегда возвращали,потому что они закодированы как 50% от зарплаты,вы не имели право её трогать! Как мне по вашему жить теперь?",1,bad,"12 февр, 2022",Владислав,gazprombank,male
24,"Выдали карту, сотрудник приезжал домой выдал дебетовую карту но так и не добавил номер телефона после чего не как не могу активировать карту. По телефону сказали только в отделении банка, приехал по адресу Ленина 5\4 г. Уфа, в отделение говорят что отделение закрыто хотя 17:40 сотрудница сидела и выдавала карты и обслуживала посетителей. Из за того что сотрудник не привязал номер телефона к катре пришлось потратить более 4 ч личного времени и затраты на такси, так как в городе с населением 1млн человек работает только 1 отделение на ул. Менделева !!!!!!!!!!! в субботу и воскресение все закрыто не как не активировать карту. Ужасное обслуживание !!!!!!!!!!!!!!!!!!!!",1,bad,"11 февр, 2022",Денис,gazprombank,male
25,"Самое плохое обслуживание, что в офисах что на горячей линии… просто с улицы понабирали людей даже не обучили… как не позвоню по 15-20 минут жду на линии пока там изучат мой вопрос, а по итоге «обратитесь в отделение банка»! На какой  эта линия вообще существует если она бесполезная!!??",1,bad,"11 февр, 2022",Пользователь,gazprombank,unkn
26,"Обратилась в Ваш банк с целью получения карты Халва. Итак хронология событий: оставила заявку на получение карты. Подтверждение получения заявки – смс с кодом подтверждения и сообщением о лимите карты. Представитель банка со мной не связался . Странный подход к потенциальному клиенту!</li> оставила повторную заявку, связался специалист, договорились о доставки карты.</li> приехал курьер, привез договор и карту Халва.</li> звонок от сотрудника банка с предложением привезти карту ( еще одну?).</li> звонок в банк , карта не активирована, войти в личный кабинет не могу. Оператор объяснила, что должно пройти три рабочих дня.</li> звонок в банк. Оператор подтвердил, что отметка о доставки карты есть, но… Принято обращение № 111527579.</li> звонок в банк, с целью узнать решение по моему обращению. Оператор ничего сказать не смог, кроме непонятных фраз – технический сбой.</li> звонок от сотрудника банка с предложением привезти карту ( еще одну?). На данный момент представитель банка ни разу со мной не связался , проблема не решена, прислать курьера с расторжением договора банк отказывается ( сделать это можно только в отделении банка, но почему я должна тратить свое время из за Ваших технических ошибок?), и что очень настораживает, опять хотят доставить очередную карту. Это непрофессиональный подход! Обходите этот банк стороной!!!!</li>",1,bad,"11 февр, 2022",Татьяна,sovkombank,female
27,не могу закрыть вклад в мобильно приложении. Техподдержка отмалчивается. пришлось ехать в офис. В результате - короновирус. Через неделю с другим вкладом опять - не могу закрыть. Бардак!,1,bad,"10 февр, 2022",Валерий,gazprombank,male
28,"Для перевыпуска дебетовой карты необходимо ехать в офис, по телефону либо в приложении Телекард сделать это не возможно. О  том, что срок карты заканчивается, банк клиента не информирует. В Сбере заранее информируют и заранее преревыпускают карты, и дистанционно заказать перевыпуск при необходимости, у них нет проблем. Газпромбанк видимо экономит на перевыпуске. Офисы Газпромбанка (г. Калининград) , куда надо идти для заказа перевыпуска карты, работают только по будням до 19.00. Я физически не успеваю в будние дни до этого времени попасть в офис банка. Клиентоориентированность Газпромбанка с моей точки зрения нулевая.",1,bad,"09 февр, 2022",Виталий,gazprombank,male
29,"С 20.01.22 у меня не работает СБП, не могу делать переводы на свои и другие карты в сторонних банках. Обращался в банк такое чувство, что им абсолютно наплевать на мои проблемы. Так что банк не советую.",1,bad,"09 февр, 2022",Андрей,uralsib,male
30,"Во время обеда бюджетные служащие приходят в отделение Газпромбанка Петрозаводск, а кассиры уходят на обед до 13.45. Это доя клиентов? Это правильно? Пои этом зал пустой! Ленивые работники, а предлагают организациям переводить перечисление заработной платы в банки",1,bad,"08 февр, 2022",Наталья,gazprombank,female
31,"Ужаснее этого банка я еще не видела. Так получилось, что мой счет заблокирован по причине ареста. Когда приходит заработная плата, снимают сразу половину. А вот вторую половину возвращать не спешат по несколько дней.  Звонки на горячую линию проблему не рашают. Планирую уйти с клиентов данного банка.",1,bad,"08 февр, 2022",Анна,gazprombank,female
32,"Обманули на счёт вклада,не оправдали надежд .Считают неправильно налог на проценты по вкладу.Не рассказали что могут быть большие риски по инвестициям.Вложил миллион ,а пытался забрать 896тыс.-парадокс,но это правда!Б",1,bad,"07 февр, 2022",Виктор,gazprombank,male
33,"Рекомендую ДО подписания договора узнавать детализацию ежемесячного платежа. умышленно скрывают информацию, навязывают страховки, которыми вы сможете воспользоваться только в случае инвалидности или смерти. В договоре прописано, что все страховки, комиссии будут списываться равными долями ежемесячно. По факту банк в первые 3месяца спишет с вас все свои страховки. Можно потом вместе с договором обращаться в суд или центробанк. Деньги вернуть вполне реально. Главное - набраться терпения и сохранять спокойствие.",1,bad,"07 февр, 2022",Евгения,sovkombank,female
34,"ОБМАН С НАКОПИТЕЛЬНЫМ СЧЕТОМ Открыла накопительный счет 4 мая 2021года, имея при этом еще вклад в Газпромбанке с 2019 года. Прельстило то, что можно пополнять и снимать в любое время в отличие от вклада и процент увеличивается! При открытии накопительного счета никакого договора я не получила и была уверена, что вся информация из рекламы является достоверной. В течение полугода я не проверяла проценты по накопительному счету, т.к. сумма была не значительной. В конце декабря 2021 года я закрыла вклад и решила пополнить этой суммой накопительный счет 1 января 2022 года. Каково же было мое удивление, что 1 февраля 2022 года мне НЕ были начислены проценты за пользованием моими деньгами за целый месяц. Газпробанк просто начислил мне проценты на сумму, которая у меня хранилась на 31 декабря 2021 годя. Это нормально?! Я хранила деньги, чтобы получить проценты, а ГАЗПРОБАНК оказывается начисляет проценты на наименьшую сумму по счету!!! Это в каких банках еще бывает? Не рекомендую этот банк. Отвратительное отношение при звонках, отправляют в личный кабинет. Приходится заполнять кучу форм, т.к. приложение Теле карт из прошлого века. Уже 5 дней на мои сообщения никто не отвечает. Я не могу выяснить до сих пор где прописаны условия накопительного счета – меня отправляют лично посетить банк. Отправить условия в электронном виде никто не может.",1,bad,"05 февр, 2022",Мария,gazprombank,female
35,"В мае 2019 году рефинансировал свой ипотечный кредит. Остаток составлял 1 689126,22р. При рефинанс., сотрудники газпромбанка предложили взять дополнительно средства под личные нужды под тот же процент (9.5%) и срок, что и ипотечный кредит. Я согласился взять дополнительно 200000,00р. Оформление рефинансирования и кредита под личные нужды происходило в одно время, однако ипотечный кредит был подписан ранее, а после того как зачислили 200000,00р были подписаны дополнения к договору. Договор № 0017**** от 27 мая 2019г. По договору сумма выдана 1 889126,22р. то есть на погашение ипотеки в сбербанке и доп. средства. А графиков погашения было распечатано два: по к.д. № 0017**** и № 0017**** на сумму ипотеки и на сумму доп средств соответственно. В мобильном приложении газпромбанка кредиты обозначены как две разные с разными графиками: НЧ2-1 от 27.05.2019 на 1 689 126, 22р.</li> НЧ2-2 от 23.07.2019 на 200 000, 00р. г. был использован мат. капитал и по заявлению в отделении газпромбанка сумма в 452 558, 66р. была внесена в счет погашения ипотечного кредита с уменьшением срока. После внесения средств сотрудники банка не смогли распечатать новый график платежей ссылаясь на технические проблемы и в последующих месяцах при повторных обращениях график так и не смогли распечатать. На сегодняшний день в моб. приложении два кредита как и ранее, однако срок по ипотечному кредиту сократился за счет досрочного погашения, а кредит на дополнительно выделенную сумму остался на тот же срок. Решил закрыть долг по доп. средствам и оставить только ипотечный кредит. Сделать это через моб. приложение невозможно, потому как выходит ошибка. Остаток долга по доп. средствам судя  по моб. приложению составляет 182541,71р. Имея при себе нужную сумму и обратившись в отделение газпромбанка в г. Набережные Челны по адресу пр. Мира, 24с я столкнулся с невозможностью закрыть досрочно кредит на доп. средсва. В отделении банка мне сообщили, что у них виден только ипотечный кредит, однако долг по ней составлял сумму долгов по двум кредитам. Некомпетентность и отчужденность персонала привела не только к неспособности решить проблему, но и к неспособности объяснить что делать и к кому обратиться за решением проблемы. По утверждениям сотрудников, кредит у меня всего один и принять они могут только заявление на частичное досрочное погашение по нему. На просьбу распечатать график платежей на дату обращения поступил отказ ссылаясь на технические проблемы. Обещали решить проблему и позвонить. Однако как это бывает в 100% обещаний этого отделения, этого никогда не происходит! Позвонив в службу поддержки, услышал лишь стандартную для газпромбанка фразу ""Мы вам перезвоним"". Так же, в январе 2022 г. истек срок дебетовой карты со счета которого идет погашение кредита. В том же отделении банка Карту новую выдали и пообещали, что все платные услуги по умолчанию отключены. Однако в моб. приложении было активировано смс информирование (59р./м.) которое я отключил сам до активации карты. После того как через кассу внес 500р на счет то с баланса сняли 59р. а услуга по факту отключена. Требую вернуть оплату, так как услуга не предоставлена! Так же в моб. приложении номер карты для погашения указан тот который на сегодня уже просрочен, хотя сотрудник сказала что с новой карты будет оплата. То есть сотрудник говорит одно, а делает ровно наоборот всё! Так же на просроченной карте остались денежные средства которые сотрудники банка так же не смогли перенести на новую карту и как я понял это почти не возможно. В первые сталкиваюсь с таким слабым банком и грубым персоналом! Вторая неделя прошла и не с кем решить проблему</li>",1,bad,"05 февр, 2022",ИЛЬНАР,gazprombank,unkn
